user_id,movie_id,rating,timestamp,title,genres,gender,age,occupation,zip,genres_length
107,12,4,968035345,Ed Wood (1994),"1,2",0,2,4,35,2
123,169,3,966536874,Patriot Games (1992),"3,4",1,1,4,118,2
12,6,4,976203603,"Bridges of Madison County, The (1995)","2,5",0,2,13,99,2
21,112,3,975430389,Indiana Jones and the Temple of Doom (1984),"3,6",1,1,18,55,2
187,45,5,957782527,"Apartment, The (1960)","1,2",1,5,19,41,2
99,146,1,972769867,Problem Child 2 (1991),1,1,1,0,108,1
102,43,5,969738869,Matilda (1996),"7,1",0,0,1,137,2
24,156,5,975273310,Chushingura (1962),2,1,5,1,45,1
134,30,5,966223349,Searching for Bobby Fischer (1993),2,1,2,16,84,1
68,174,3,974694703,"Outlaw Josey Wales, The (1976)",8,1,5,10,144,1
97,82,5,971769808,Jaws (1975),"3,9",0,3,19,178,2
7,173,5,976316283,High Fidelity (2000),1,1,2,2,140,1
77,91,5,974759084,As Good As It Gets (1997),"1,2",0,1,4,31,2
1,108,3,977788576,"Parent Trap, The (1998)","7,2",1,6,1,86,2
125,132,1,976298130,I Stand Alone (Seul contre tous) (1998),2,1,2,4,112,1
78,40,3,980013556,"Nutty Professor, The (1996)","1,10,5,11",1,1,0,94,4
191,109,4,956716684,101 Dalmatians (1961),"12,7",0,2,14,62,2
124,31,3,966363610,Serial Mom (1994),"1,13,9",1,3,7,16,3
145,180,4,964489599,Blood Simple (1984),"2,14",1,3,16,39,2
99,183,3,972413564,F/X (1986),"3,13,4",1,1,0,108,3
186,129,1,957898337,Armed and Dangerous (1986),"1,13",1,2,1,142,2
69,67,2,974695654,Manhattan (1979),"1,2,5",1,4,13,165,3
175,137,3,960328279,"Rocky Horror Picture Show, The (1975)","1,9,15,11",1,4,7,3,4
44,87,3,974851275,Love! Valour! Compassion! (1997),"2,5",1,3,14,44,2
103,127,3,969324381,Cocoon (1985),"1,11",1,2,2,135,2
150,8,3,963602574,Clockers (1995),2,1,6,7,70,1
54,104,3,974709821,Hello Mary Lou: Prom Night II (1987),9,1,2,19,166,1
73,100,4,974677761,On the Waterfront (1954),"13,2",0,6,12,9,2
113,140,4,979949863,"Ideal Husband, An (1999)",1,0,4,1,33,1
9,25,4,976284972,"Hudsucker Proxy, The (1994)","1,5",1,2,11,96,2
65,122,2,974699637,"Player, The (1992)","1,2",1,1,0,162,2
159,124,4,962619587,Sid and Nancy (1986),2,1,3,0,155,1
144,116,4,964883648,Rosemary's Baby (1968),"9,4",1,2,4,79,2
37,126,4,1011716691,Shakespeare in Love (1998),"1,5",0,1,19,85,2
86,72,5,974435324,Young Frankenstein (1974),"1,9",1,5,1,69,2
176,117,4,959787754,Beetlejuice (1988),"1,10",1,4,1,145,2
16,42,1,975799925,High School High (1996),1,1,1,4,149,1
100,145,5,970189524,"Sixth Sense, The (1999)",4,1,4,1,136,1
75,131,4,975522689,"Deep End of the Ocean, The (1999)",2,0,3,3,187,1
14,2,4,975812238,Twelve Monkeys (1995),"2,11",1,3,19,23,2
6,52,5,978471241,Sleeper (1973),"1,11",1,5,14,95,2
165,17,4,962338215,"Mask, The (1994)","1,13,10",0,2,8,150,3
143,101,4,965094644,"Last Emperor, The (1987)","2,16",1,5,0,1,2
177,94,5,959713840,"Man in the Iron Mask, The (1998)","3,2,5",0,2,16,2,3
66,136,2,974699627,Superman III (1983),"3,6,11",1,5,15,143,3
53,65,4,975016698,"Terminator, The (1984)","3,11,4",1,5,15,184,3
20,20,3,975460449,Cliffhanger (1993),"3,6,13",1,0,9,72,3
64,144,5,974826228,Brighton Beach Memoirs (1986),1,1,2,0,19,1
179,26,5,959052158,In the Line of Fire (1993),"3,4",1,6,15,61,2
52,83,4,978576948,Sneakers (1992),"13,2,11",1,2,11,123,3
152,55,4,963369546,Days of Thunder (1990),"3,5",1,3,5,172,2
94,126,5,972571456,Shakespeare in Love (1998),"1,5",1,1,0,88,2
61,184,4,1001558470,Bring It On (2000),1,1,2,0,78,1
93,23,2,972662398,"Fugitive, The (1993)","3,4",0,3,0,10,2
62,121,3,1038179198,"Thing, The (1982)","3,9,11,4",1,3,5,25,4
5,142,4,976570902,Ghostbusters (1984),"1,9",1,2,11,139,2
91,33,1,973215985,Aladdin (1992),"12,7,1,15",1,1,16,90,4
26,0,2,975264028,Waiting to Exhale (1995),"1,2",1,1,13,117,2
81,46,3,974607067,Roman Holiday (1953),"1,5",1,4,6,4,2
83,139,4,1007158806,Notting Hill (1999),"1,5",1,5,13,32,2
29,150,1,975222613,Home Alone 2: Lost in New York (1992),"7,1",1,2,0,21,2
50,135,4,974735454,Open Your Eyes (Abre los ojos) (1997),"2,5,11",1,2,0,164,3
58,36,5,976441106,Pretty Woman (1990),"1,5",1,1,4,0,2
88,110,3,973840056,Something Wicked This Way Comes (1983),"7,9",1,1,4,152,2
57,79,3,1009256707,Albino Alligator (1996),"13,4",0,5,6,60,2
44,162,2,974850796,Magnolia (1999),2,1,3,14,44,1
72,70,3,974954220,"Deer Hunter, The (1978)","2,16",1,3,16,157,2
117,147,4,966906064,Fright Night (1985),"1,9",1,3,2,107,2
184,9,3,958192148,Strange Days (1995),"3,13,11",1,2,2,115,3
172,34,4,960596927,Dances with Wolves (1990),"6,2,8",1,6,0,119,3
185,7,4,958108785,Blue in the Face (1995),1,1,2,0,146,1
31,76,4,974938851,When Harry Met Sally... (1989),"1,5",0,4,8,169,2
130,4,2,965973222,Eye for an Eye (1996),"2,4",1,2,7,102,2
28,185,4,975106398,Almost Famous (2000),"1,2",1,3,18,159,2
166,73,4,961972292,Some Kind of Wonderful (1987),"2,5",1,2,7,103,2
182,112,3,958434069,Indiana Jones and the Temple of Doom (1984),"3,6",0,2,10,6,2
146,130,3,964110136,Three Amigos! (1986),"1,8",1,6,1,76,2
70,95,2,975648062,Lost in Space (1998),"3,11,4",1,4,19,148,3
139,28,4,965277546,Rising Sun (1993),"3,2,17",1,5,7,71,3
43,24,2,975979732,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","1,5",0,2,7,40,2
82,148,3,974599097,Lulu on the Bridge (1998),"2,17,5",0,4,1,105,3
87,119,4,974055724,"Butcher's Wife, The (1991)","1,5",0,2,3,87,2
192,168,5,956716750,Woman in the Dunes (Suna no onna) (1964),2,1,2,6,26,1
142,149,5,965171739,Ferris Bueller's Day Off (1986),1,1,2,0,73,1
167,181,3,961946487,Porky's (1981),1,1,1,13,20,1
15,13,3,975805801,Pulp Fiction (1994),"13,2",1,5,16,64,2
92,154,3,973198964,Peter's Friends (1992),"1,2",0,5,19,54,2
85,56,5,974259943,"Return of the Pink Panther, The (1974)",1,1,3,1,50,1
183,66,4,958354460,Glory (1989),"3,2,16",1,1,14,153,3
168,172,5,961944604,Modern Times (1936),1,1,3,1,114,1
111,69,5,967433929,Chinatown (1974),"14,17,4",1,3,19,59,3
0,35,5,977847255,"Silence of the Lambs, The (1991)","2,4",1,3,7,100,2
76,49,3,974658834,"20,000 Leagues Under the Sea (1954)","6,7,10,11",1,5,15,15,4
80,106,3,979353437,Dangerous Liaisons (1988),"2,5",1,2,0,77,2
133,35,5,965691680,"Silence of the Lambs, The (1991)","2,4",1,2,0,127,2
13,11,4,976069421,Boys on the Side (1995),"1,2",0,2,0,68,2
36,152,5,1032056405,Yojimbo (1961),"1,2,8",1,1,4,181,3
136,166,5,965319143,"Girl, Interrupted (1999)",2,0,2,0,42,1
95,37,3,982805796,Alphaville (1965),11,1,5,11,177,1
135,164,4,965321085,Galaxy Quest (1999),"6,1,11",0,2,14,126,3
33,54,4,974911354,E.T. the Extra-Terrestrial (1982),"7,2,10,11",1,1,4,168,4
174,167,3,960481000,"Way We Were, The (1973)",2,1,2,10,99,1
90,72,5,973310827,Young Frankenstein (1974),"1,9",1,3,10,80,2
108,29,2,976673070,Robin Hood: Men in Tights (1993),1,0,1,4,130,1
162,92,1,962513044,U.S. Marshalls (1998),"3,4",0,3,4,174,2
148,114,3,963903103,St. Elmo's Fire (1985),"2,5",0,2,1,141,2
118,88,5,966802528,Men in Black (1997),"3,6,1,11",1,1,16,111,4
11,170,1,976208080,Mission to Mars (2000),11,1,2,15,93,1
119,64,3,966745594,Annie Hall (1977),"1,5",1,2,0,183,2
98,60,5,971319983,"Princess Bride, The (1987)","3,6,1,5",1,3,11,171,4
19,38,3,982881364,Barb Wire (1996),"3,11",1,1,4,180,2
190,22,3,956999469,"Firm, The (1993)","2,4",1,1,5,175,2
155,62,4,996034747,Apocalypse Now (1979),"2,16",1,6,1,71,2
32,178,4,974920622,Shanghai Noon (2000),3,1,1,4,132,1
112,134,3,967419652,"King and I, The (1956)",15,1,3,1,43,1
38,157,5,974814536,"Grapes of Wrath, The (1940)",2,1,3,2,36,1
56,99,4,974709448,Buffalo 66 (1998),"3,1,2",1,2,19,37,3
157,34,5,962909224,Dances with Wolves (1990),"6,2,8",1,1,4,109,3
160,111,3,962609782,Splash (1984),"1,10,5",1,5,13,98,3
138,96,4,965343416,Fear and Loathing in Las Vegas (1998),"1,2",1,3,15,75,2
173,50,3,960502974,That Thing You Do! (1996),1,1,1,11,134,1
8,75,3,977501743,Field of Dreams (1989),2,0,3,0,97,1
149,47,5,963966553,Escape to Witch Mountain (1975),"6,7,10",1,2,4,186,3
23,14,3,975357801,"Adventures of Priscilla, Queen of the Desert, The (1994)","1,2",0,2,15,74,2
96,21,4,972509362,Color of Night (1994),"2,4",1,2,0,22,2
63,77,4,974878241,April Fool's Day (1986),"1,9",1,2,18,29,2
42,118,3,974778494,My Bodyguard (1980),2,0,2,13,66,1
106,182,2,979767184,"Running Man, The (1987)","3,6,11",1,2,19,5,3
188,113,3,957470619,Sixteen Candles (1984),1,1,2,7,11,1
114,143,3,967328026,Runaway Bride (1999),"1,5",1,3,0,183,2
109,149,5,967942960,Ferris Bueller's Day Off (1986),1,1,2,11,120,1
163,141,5,962488280,"South Park: Bigger, Longer and Uncut (1999)","12,1",1,4,1,34,2
170,10,2,961271616,Waterworld (1995),"3,6",1,2,15,58,2
140,58,4,965274348,One Flew Over the Cuckoo's Nest (1975),2,1,2,16,185,1
29,81,2,975220259,Young Guns II (1990),"3,1,8",1,2,0,21,3
22,44,4,975368038,Rear Window (1954),"17,4",1,0,18,89,2
189,27,4,957143581,Jurassic Park (1993),"3,6,11",1,0,9,46,3
153,151,4,963332896,Creepshow (1982),9,1,2,13,52,1
156,165,5,972240802,Titus (1999),2,0,5,17,14,1
35,98,2,1004486985,Six Days Seven Nights (1998),"6,1,5",0,2,18,128,3
141,163,5,965180829,Carnal Knowledge (1971),2,1,5,11,63,1
171,80,4,961055887,Star Trek: The Wrath of Khan (1982),"3,6,11",1,2,11,161,3
49,158,4,981272057,Fatal Attraction (1987),4,1,2,0,104,1
89,161,5,973804787,"Green Mile, The (1999)","2,4",1,2,13,38,2
39,27,4,974793389,Jurassic Park (1993),"3,6,11",0,1,1,158,3
105,155,5,968341175,"Longest Day, The (1962)","3,2,16",1,5,12,154,3
122,171,3,967116272,Daughters of the Dust (1992),2,1,6,16,49,1
129,78,4,966434517,"Body Snatcher, The (1945)",9,1,5,6,30,1
30,57,3,975018699,Mediterraneo (1991),"1,16",1,3,3,27,2
147,123,5,963976808,Runaway Train (1985),"3,6,2,4",0,5,6,81,4
104,84,4,968709039,Bastard Out of Carolina (1996),2,0,2,17,47,1
40,93,4,974833328,Love and Death on Long Island (1997),"1,2",1,3,4,179,2
178,170,2,959833154,Mission to Mars (2000),11,0,2,6,8,1
47,120,3,974767792,Ronin (1998),"3,13,4",1,2,7,133,3
180,1,4,980085414,Get Shorty (1995),"3,1,2",1,3,16,17,3
127,153,5,966272980,Spaceballs (1987),"1,11",1,0,9,12,2
3,39,1,977028390,"Phantom, The (1996)",6,1,1,1,24,1
40,61,5,974880310,Raiders of the Lost Ark (1981),"3,6",1,3,4,179,2
79,51,4,974613044,Beautiful Thing (1996),"2,5",1,5,11,125,2
17,71,4,975768106,Back to the Future (1985),"1,11",1,6,16,65,2
27,19,5,975207742,"Age of Innocence, The (1993)",2,0,5,0,182,1
59,107,4,975729332,Dune (1984),"10,11",1,2,3,173,2
45,9,4,974762924,Strange Days (1995),"3,13,11",1,2,0,131,3
154,66,4,963279051,Glory (1989),"3,2,16",1,6,1,51,3
48,102,2,974748897,"Nightmare on Elm Street 4: The Dream Master, A (1988)",9,1,2,11,147,1
101,74,3,970601837,"Room with a View, A (1986)","2,5",0,2,3,92,2
115,177,2,973297828,Honeymoon in Vegas (1992),"1,5",1,1,4,122,2
18,103,3,988638700,"Nightmare on Elm Street 5: The Dream Child, A (1989)",9,1,2,0,67,1
116,133,3,986327282,True Crime (1999),"13,4",0,4,7,57,2
132,160,5,965756244,"Fisher King, The (1991)","1,2,5",1,2,19,138,3
2,53,1,977085647,Reservoir Dogs (1992),"13,4",1,1,4,13,2
60,90,3,1036917836,Gattaca (1997),"2,11,4",0,1,4,118,3
120,5,2,966658567,From Dusk Till Dawn (1996),"3,1,13,9,4",0,4,0,121,5
10,173,4,976222483,High Fidelity (2000),1,1,3,7,18,1
34,41,2,974878678,Larger Than Life (1996),1,0,2,3,124,1
169,59,2,961476022,Star Wars: Episode V - The Empire Strikes Back (1980),"3,6,2,11,16",1,1,9,110,5
41,123,2,974837844,Runaway Train (1985),"3,6,2,4",1,2,18,156,4
164,159,5,962412804,Jagged Edge (1985),4,0,5,11,167,1
74,48,4,1006290836,Old Yeller (1957),"7,2",1,1,4,101,2
128,115,5,966094413,"Gods Must Be Crazy II, The (1989)",1,1,3,6,91,1
55,138,2,974709721,Invasion of the Body Snatchers (1956),"9,11",1,3,11,170,2
151,63,4,963508830,"Godfather: Part II, The (1974)","3,13,2",1,2,2,176,3
51,16,5,974742941,"Client, The (1994)","2,17,4",1,5,7,53,3
137,179,3,965411938,"Spy Who Loved Me, The (1977)",3,1,2,18,28,1
71,3,5,974697744,Dead Man Walking (1995),2,1,6,12,163,1
173,97,4,960503255,"Perfect Murder, A (1998)","17,4",1,1,11,134,2
49,128,4,981272235,"Karate Kid, The (1984)",2,1,2,0,104,1
67,186,5,974753321,Meet the Parents (2000),1,1,2,7,151,1
138,175,4,965415533,Diner (1982),"1,2",1,3,15,75,2
121,105,5,966657892,Lethal Weapon (1987),"3,1,13,2",0,1,14,7,4
110,169,5,980115327,Patriot Games (1992),"3,4",1,3,7,116,2
126,32,2,966287116,Sliver (1993),4,1,4,7,56,1
161,68,3,962607149,Dead Poets Society (1989),2,0,6,2,160,1
158,18,4,962651180,True Lies (1994),"3,6,1,5",1,3,16,129,4
84,85,4,974413811,Evita (1996),"2,15",0,0,9,82,2
46,176,3,974840560,Screwed (2000),1,1,2,11,48,1
131,89,3,965855033,Fire Down Below (1997),"3,2,4",1,1,11,113,3
4,125,3,976730191,Desperately Seeking Susan (1985),"1,5",0,1,13,83,2
181,15,4,958503395,Clear and Present Danger (1994),"3,6,4",1,2,0,106,3
25,86,3,975270899,Liar Liar (1997),1,1,2,0,136,1
